"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/memory/integrity.go","44","25","44","41"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/memory/integrity.go","54","27","54","30"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/memory/memory.go","143","24","143","41"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/memory/memory.go","146","24","146","27"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/memory/memory.go","187","27","187","30"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/memory/memory.go","202","22","202","25"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/memory/memory.go","212","24","212","26"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/memory/memory.go","216","25","216","28"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:118:34:118:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:120:28:120:33""]].","/internal/persona/load.go","152","29","152","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:118:34:118:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:120:28:120:33""]].","/internal/persona/load.go","216","27","216","30"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/security/baseline.go","41","27","41","43"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/security/report_artifact.go","34","24","34","41"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/security/report_artifact.go","37","19","37","22"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/security/sbom.go","54","24","54","58"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/security/sbom.go","57","19","57","39"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/security/scanners.go","793","23","793","26"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:118:34:118:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:120:28:120:33""]].","/internal/server/sessions.go","196","23","196","25"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:118:34:118:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:120:28:120:33""]].","/internal/skills/embedded.go","57","23","57","28"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:118:34:118:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:120:28:120:33""]].","/internal/skills/embedded.go","63","35","63","40"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:118:34:118:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/sessions.go:120:28:120:33""]].","/internal/skills/embedded.go","66","23","66","28"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/skills/skills.go","251","29","251","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/skills/skills.go","274","29","274","65"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/skills/skills.go","301","28","301","55"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/skills/skills.go","334","29","334","31"
"Command built from user-controlled sources","Building a system command from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","This command depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This command depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/security/recon.go","441","29","441","31"
"Command built from user-controlled sources","Building a system command from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","This command depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This command depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/tool/builtin/git.go","71","29","71","31"
"Command built from user-controlled sources","Building a system command from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","This command depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This command depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/tool/builtin/shell_checkpoint.go","184","34","184","37"
"Command built from user-controlled sources","Building a system command from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","This command depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This command depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/tool/builtin/shell_checkpoint.go","184","47","184","50"
"Size computation for allocation may overflow","When computing the size of an allocation based on the size of a large object, the result may overflow and cause a runtime panic.","warning","This operation, which is used in an [[""allocation""|""relative:///internal/filetracker/hunks.go:275:22:275:24""]], involves a [[""potentially large value""|""relative:///internal/engine/engine.go:1608:3:1608:58""]] and might overflow.","/internal/filetracker/hunks.go","275","22","275","22"
"Size computation for allocation may overflow","When computing the size of an allocation based on the size of a large object, the result may overflow and cause a runtime panic.","warning","This operation, which is used in an [[""allocation""|""relative:///internal/filetracker/hunks.go:277:23:277:25""]], involves a [[""potentially large value""|""relative:///internal/engine/engine.go:1608:3:1608:58""]] and might overflow.","/internal/filetracker/hunks.go","277","23","277","23"
"Size computation for allocation may overflow","When computing the size of an allocation based on the size of a large object, the result may overflow and cause a runtime panic.","warning","This operation, which is used in an [[""allocation""|""relative:///internal/security/method.go:684:29:684:42""]], involves a [[""potentially large value""|""relative:///internal/engine/engine.go:1608:3:1608:58""]] and might overflow.","/internal/security/method.go","684","29","684","40"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""password""|""relative:///internal/security/cve.go:34:22:34:34""]].","/internal/security/cve.go","34","22","34","34"
